date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2012-10-30,2013,0,,CLE,WAS,1346.9901,1450.8339,0.4944685528140312,0.5055314471859689,1357.5148,1440.3092,,,,,,,,,,,94,84,9,"",""
2012-10-30,2013,0,,LAL,DAL,1555.7339,1519.9543,0.6860270466607447,0.31397295333925535,1541.7585,1533.9297,,,,,,,,,,,91,99,64,"",""
2012-10-30,2013,0,,MIA,BOS,1660.3782,1592.0532,0.7249114750897879,0.2750885249102121,1666.3193,1586.1121,,,,,,,,,,,120,107,92,"",""
2012-10-31,2013,0,,PHO,GSW,1530.1812,1421.1807,0.7690764346015556,0.23092356539844439,1521.2568,1430.105,,,,,,,,,,,85,87,34,"",""
2012-10-31,2013,0,,DET,HOU,1430.9758,1501.2556,0.5426667871393115,0.4573332128606885,1420.1541,1512.0774,,,,,,,,,,,96,105,30,"",""
2012-10-31,2013,0,,CHI,SAC,1596.7417,1417.2316,0.8332710409075335,0.16672895909246654,1598.849,1415.1243,,,,,,,,,,,93,87,47,"",""
2012-10-31,2013,0,,NOP,SAS,1453.0475,1676.2136,0.3298196059683482,0.6701803940316517,1449.2499,1680.0112,,,,,,,,,,,95,99,72,"",""
2012-10-31,2013,0,,POR,LAL,1450.6614,1541.7585,0.512809499478279,0.48719050052172097,1460.7015,1531.7184,,,,,,,,,,,116,106,44,"",""
2012-10-31,2013,0,,PHI,DEN,1537.5059,1576.3953,0.5870493737358681,0.4129506262641319,1545.1703,1568.7308,,,,,,,,,,,84,75,72,"",""
2012-10-31,2013,0,,LAC,MEM,1560.9281,1578.983,0.6157893366047952,0.3842106633952048,1567.9476,1571.9635,,,,,,,,,,,101,92,77,"",""
2012-10-31,2013,0,,TOR,IND,1437.3424,1561.7098,0.46498987768832123,0.5350101223116788,1432.9348,1566.1174,,,,,,,,,,,88,90,45,"",""
